Designator,Mid X,Mid Y,Layer,Rotation
C1,81.52638,62.8269,Top,180
C2,83.49996,74.51852,Top,90
C3,26.40838,64.01816,Top,270
C4,60.72378,57.66816,Top,270
C7,24.23154,63.95724,Top,90
C8,63.98514,58.99658,Top,0
C10,12.27074,70.97014,Top,180
C11,25.19934,72.54006,Top,270
C12,12.27074,73.76414,Top,180
C13,11.76274,82.65414,Top,180
C14,27.99334,72.54006,Top,270
C15,23.19274,82.65414,Top,180
C16,21.4376,74.2188,Top,270
C19,38.43254,73.00214,Top,180
C20,38.43254,75.54214,Top,180
C21,44.95754,80.01004,Top,90
C22,42.49654,75.54214,Top,270
C23,45.03654,75.54214,Top,90
C24,50.11654,54.46014,Top,180
C25,50.11654,57.00014,Top,0
C26,59.26054,80.36814,Top,90
C27,59.26054,76.05014,Top,270
C28,56.72054,70.46214,Top,270
C29,59.26054,70.46214,Top,270
C30,51.88754,70.41644,Top,270
C31,83.40554,54.89954,Top,180
C32,79.44354,53.66254,Top,270
C33,85.23254,51.55654,Top,90
C34,81.90254,51.50354,Top,270
C35,77.08654,53.70064,Top,270
C36,58.02376,34.96564,Top,270
C38,32.37254,67.98814,Top,0
C39,38.94054,84.43214,Top,180
C40,51.13254,87.47114,Top,90
C45,65.53154,34.91992,Top,270
C46,61.89472,34.9504,Top,270
C47,86.08554,32.87554,Top,0
C48,90.56354,33.70854,Top,270
C49,47.83054,87.47114,Top,90
C58,62.357,84.3788,Top,0
C59,61.7982,72.517,Top,270
C60,29.2735,34.036,Top,270
D1,10.90422,66.69278,Top,90
D2,6.72084,66.72072,Top,90
D3,55.1434,61.6458,Top,90
D4,78.56454,82.14614,Top,90
D7,75.99954,69.57564,Top,90
D8,76.07254,74.97014,Top,90
FB1,29.29636,66.92392,Top,90
FB2,48.4124,78.2574,Top,180
IC1,42.24254,65.38214,Top,0
IC2,76.78654,40.99854,Top,270
R1,6.7437,63.06566,Top,270
R2,23.16226,85.2424,Top,0
R3,8.0645,85.39734,Top,0
R4,10.85342,63.10122,Top,270
R5,23.09876,88.30056,Top,180
R6,8.0645,88.41486,Top,180
R7,28.27254,82.65414,Top,0
R8,16.84274,82.65414,Top,0
R9,8.96874,78.59014,Top,90
R10,21.41474,78.59014,Top,90
R11,49.78354,82.16904,Top,90
R12,42.41754,80.01004,Top,90
R13,38.94054,56.23814,Top,90
R14,41.48054,56.23814,Top,90
R15,44.02054,56.23814,Top,90
R16,46.56054,56.23814,Top,90
R17,43.68754,83.56604,Top,180
R18,48.4378,75.6158,Top,0
R19,50.11654,59.79414,Top,0
R20,50.79954,62.48404,Top,180
R21,54.18054,70.46214,Top,270
R22,48.74054,70.28434,Top,180
R23,60.7568,51.7652,Top,270
R24,63.754,51.7906,Top,270
R25,66.7004,51.81554,Top,270
R26,64.01562,56.55564,Top,0
R33,34.54354,84.32804,Top,0
R34,44.78254,87.48914,Top,270
R35,31.623,37.973,Top,90
R36,29.2735,38.0365,Top,90
R37,31.6865,34.0995,Top,270
R38,81.10454,77.82814,Top,270
R39,80.85054,82.40014,Top,90
R40,78.81854,77.82814,Top,90
R41,63.83254,79.35214,Top,0
R42,66.62654,81.89214,Top,0
R43,69.42054,79.35214,Top,0
R44,71.96054,81.89214,Top,0
R45,15.875,29.591,Top,90
R46,29.23794,29.57576,Top,90
R47,9.73074,29.56854,Top,90
R48,2.11074,29.56854,Top,90
R49,7.19074,29.56854,Top,90
R50,12.27074,29.56854,Top,90
R51,31.9786,29.55798,Top,90
R52,4.65074,29.56854,Top,90
R53,65.86454,67.16014,Top,90
R54,68.40454,67.16014,Top,90
R55,71.70654,64.62014,Top,0
R56,71.70654,67.66814,Top,0
R57,36.10356,28.78074,Top,180
R58,79.44866,57.70626,Top,270
R59,54.19598,51.27498,Top,0
R60,75.83932,57.70626,Top,90
U3,27.25654,78.33614,Top,180
U4,14.81074,78.33614,Top,180
U9,68.40454,73.25614,Top,270
